Time,HR bpm
00:00.6,90
00:01.2,90
00:01.9,88
00:02.6,89
00:03.2,89
00:03.9,92
00:04.6,97
00:05.2,100
00:05.8,108
00:06.3,109
00:06.9,109
00:07.4,94
00:08.1,89
00:08.8,84
00:09.5,71
00:10.3,75
00:11.1,71
00:12.0,73
00:12.8,79
00:13.6,77
00:14.3,80
00:15.1,81
00:15.8,83
00:16.6,86
00:17.3,86
00:18.0,85
00:18.7,88
00:19.4,83
00:20.1,84
00:20.8,84
00:21.5,83
00:22.2,86
00:22.9,84
00:23.6,83
00:24.4,90
00:25.0,92
00:25.7,99
00:26.3,100
00:26.9,107
00:27.4,105
00:28.0,105
00:28.6,100
00:29.2,93
00:29.8,81
00:30.6,87
00:31.3,83
00:32.0,81
00:32.7,92
00:33.4,94
00:34.0,98
00:34.6,100
00:35.2,99
00:35.8,103
00:36.4,102
00:37.0,103
00:37.6,100
00:38.2,99
00:38.8,103
00:39.4,101
00:39.9,99
00:40.6,82
00:41.3,83
00:42.0,79
00:42.8,83
00:43.5,85
00:44.2,83
00:44.9,85
00:45.6,89
00:46.3,89
00:47.0,88
00:47.7,91
00:48.3,89
00:49.0,89
00:49.7,88
00:50.3,86
00:51.0,86
00:51.7,86
00:52.4,87
00:53.1,89
00:53.8,93
00:54.5,92
00:55.1,95
00:55.7,103
00:56.3,92
00:57.0,96
00:57.6,92
00:58.2,85
00:58.9,78
00:59.7,78
01:00.5,79
01:01.2,79
01:02.0,82
01:02.7,86
01:03.4,88
01:04.1,93
01:04.8,95
01:05.4,95
01:06.0,96
01:06.6,96
01:07.3,97
01:07.9,84
01:08.6,80
01:09.3,71
01:10.2,70
01:11.1,74
01:11.9,77
01:12.6,82
01:13.4,85
01:14.1,88
01:14.8,91
01:15.4,90
01:16.1,93
01:16.7,92
01:17.4,90
01:18.0,89
01:18.7,86
01:19.4,81
01:20.2,84
01:20.9,83
01:21.6,86
01:22.3,92
01:22.9,94
01:23.6,94
01:24.2,95
01:24.8,93
01:25.5,91
01:26.2,87
01:26.8,88
01:27.5,86
01:28.2,88
01:28.9,87
01:29.6,87
01:30.3,93
01:30.9,90
01:31.6,90
01:32.3,93
01:32.9,93
01:33.5,96
01:34.2,97
01:34.8,99
01:35.4,99
01:36.0,92
01:36.7,84
01:37.4,82
01:38.1,83
01:38.8,85
01:39.5,84
01:40.2,87
01:40.9,88
01:41.6,88
01:42.3,90
01:43.0,91
01:43.6,91
01:44.3,90
01:45.0,88
01:45.6,88
01:46.3,93
01:47.0,92
01:47.6,93
01:48.3,93
01:48.9,89
01:49.6,94
01:50.2,98
01:50.8,90
01:51.5,85
01:52.2,78
01:53.0,83
01:53.7,79
01:54.5,83
01:55.2,85
01:55.9,86
01:56.6,88
01:57.3,88
01:57.9,91
01:58.6,95
01:59.2,93
01:59.9,97
02:00.5,96
02:01.1,93
02:01.8,89
02:02.4,85
02:03.1,91
02:03.8,89
02:04.5,90
02:05.1,97
02:05.7,97
02:06.4,98
02:07.0,100
02:07.6,100
02:08.2,97
02:08.8,102
02:09.4,100
02:10.0,100
02:10.6,102
02:11.2,103
02:11.8,103
02:12.3,108
02:12.9,109
02:13.5,110
02:14.0,112
02:14.5,112
02:15.1,112
02:15.6,111
02:16.2,111
02:16.7,108
02:17.2,105
02:17.8,104
02:18.4,105
02:19.0,103
02:19.5,102
02:20.1,105
02:20.7,104
02:21.3,103
02:21.9,106
02:22.4,108
02:23.0,108
02:23.5,110
02:24.1,112
02:24.6,113
02:25.2,112
02:25.7,113
02:26.2,114
02:26.7,113
02:27.3,111
02:27.8,109
02:28.4,110
02:28.9,107
02:29.5,105
02:30.0,107
02:30.6,101
02:31.2,99
02:31.8,97
02:32.4,98
02:33.0,99
02:33.6,104
02:34.2,106
02:34.8,106
02:35.4,108
02:35.9,111
02:36.4,110
02:37.0,110
02:37.5,111
02:38.1,109
02:38.6,107
02:39.2,105
02:39.8,105
02:40.3,106
02:40.9,105
02:41.5,103
02:42.0,102
02:42.6,107
02:43.2,108
02:43.7,110
02:44.3,112
02:44.8,116
02:45.3,113
02:45.9,112
02:46.4,107
02:47.0,101
02:47.6,99
02:48.2,99
02:48.8,96
02:49.4,100
02:50.0,97
02:50.6,101
02:51.2,100
02:51.8,106
02:52.4,105
02:52.9,107
02:53.5,105
02:54.1,106
02:54.6,108
02:55.2,111
02:55.7,111
02:56.3,109
02:56.8,108
02:57.4,109
02:57.9,111
02:58.5,112
02:59.0,112
02:59.5,115
03:00.1,112
03:00.6,106
03:01.2,100
03:01.8,99
03:02.4,93
03:03.0,96
03:03.6,96
03:04.3,95
03:04.9,97
03:05.5,95
03:06.1,97
03:06.8,98
03:07.4,98
03:08.0,100
03:08.6,102
03:09.2,104
03:09.8,109
03:10.3,110
03:10.9,109
03:11.4,108
03:12.0,106
03:12.5,107
03:13.1,104
03:13.7,103
03:14.3,106
03:14.8,105
03:15.4,105
03:16.0,102
03:16.6,107
03:17.1,104
03:17.7,105
03:18.3,108
03:18.8,106
03:19.4,107
03:19.9,109
03:20.5,112
03:21.0,112
03:21.6,112
03:22.1,113
03:22.6,112
03:23.2,111
03:23.7,110
03:24.3,112
03:24.8,108
03:25.3,103
03:25.9,103
03:26.5,103
03:27.1,104
03:27.7,105
03:28.2,110
03:28.8,109
03:29.3,109
03:29.9,111
03:30.4,114
03:30.9,114
03:31.5,115
03:32.0,113
03:32.5,113
03:33.1,111
03:33.6,110
03:34.1,109
03:34.7,105
03:35.3,108
03:35.8,108
03:36.4,108
03:36.9,108
03:37.5,107
03:38.1,107
03:38.6,110
03:39.2,113
03:39.7,113
03:40.2,115
03:40.7,117
03:41.3,117
03:41.8,117
03:42.3,118
03:42.8,115
03:43.3,111
03:43.9,104
03:44.4,103
03:45.0,97
03:45.6,93
